Name,Genres,Episodes,Score,Cluster
.hack//G.U. Returner,"Adventure, Drama, Fantasy",1.0,6.67,4
Moonlight Mile 2nd Season: Touch Down,"Adventure, Drama, Sci-Fi",14.0,7.26,4
Mokke,"Mystery, Slice of Life, Supernatural",24.0,7.05,4
Mirai Keisatsu Urashiman,"Action, Comedy, Sci-Fi",50.0,7.17,4
Shiawase Sou no Okojo-san,Comedy,51.0,6.43,4
Ryokan Shirasagi,Hentai,2.0,6.01,4
Private Emotion,Hentai,2.0,5.33,4
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,UNKNOWN,1.0,7.07,4
Idol Densetsu Eriko,UNKNOWN,51.0,6.98,4
Elysium,"Action, Sci-Fi",1.0,5.21,4
Sketchbook: Full Color's,"Comedy, Slice of Life",13.0,7.38,4
Inbaku Gakuen,Hentai,3.0,6.17,4
Seisai,"Avant Garde, Fantasy, Horror, Hentai",2.0,5.22,4
Hitozuma Ryoujoku Sankanbi,Hentai,2.0,6.12,4
Angel Core: Tenshi-tachi no Sumika,"Action, Hentai",2.0,5.55,4
Ojamajo Doremi Sharp Movie,"Comedy, Fantasy",1.0,7.15,4
Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,"Comedy, Fantasy",1.0,7.16,4
Doubutsu no Mori,Slice of Life,1.0,7.06,3
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,"Action, Comedy, Sci-Fi",1.0,8.08,4
Final Fantasy VII: Advent Children Complete,"Action, Fantasy",1.0,7.91,4
Egao,Slice of Life,1.0,6.45,3
Maria-sama ga Miteru 3rd Specials,"Comedy, Girls Love",5.0,7.26,4
Hana no Joshi Announcer: Newscaster Etsuko,Hentai,2.0,6.43,4
Shin-ban Megami Tantei Vinus File,Hentai,2.0,5.69,4
Okusama wa Mahoutsukai,Hentai,2.0,5.74,4
Hitozuma Cosplay Kissa,Hentai,2.0,5.97,4
Utsukushiki Sei no Dendoushi Reirei,"Girls Love, Supernatural, Hentai",2.0,5.34,4
Kininaru Roommate,Hentai,2.0,6.5,4
Digimon Adventure Movie,"Action, Fantasy, Sci-Fi",1.0,7.59,4
Digimon Adventure 02 Movies,"Adventure, Fantasy, Sci-Fi",2.0,7.1,4
Minami-ke,"Comedy, Slice of Life",13.0,7.65,4
Blue Drop: Tenshi-tachi no Gikyoku,"Drama, Girls Love, Sci-Fi",13.0,6.68,4
Suteki Tantei Labyrinth,"Mystery, Sci-Fi",25.0,6.67,4
Ookami to Koushinryou,"Adventure, Fantasy, Romance",13.0,8.22,3
Saishuu Shiken Kujira,"Comedy, Mystery, Supernatural, Ecchi",12.0,4.95,3
Appleseed Saga Ex Machina,"Action, Sci-Fi",1.0,7.32,4
Night Wizard,"Adventure, Fantasy",13.0,6.66,4
Kyou kara Maou! R,"Adventure, Comedy, Fantasy",5.0,7.41,4
Kindan no Mokushiroku: Crystal Triangle,"Adventure, Mystery",1.0,4.5,4
Fire Tripper,"Fantasy, Sci-Fi",1.0,6.41,4
The Humanoid: Ai no Wakusei Lezeria,"Drama, Sci-Fi",1.0,4.76,4
Youjuu Sensen Adventure Kid,"Fantasy, Horror, Hentai",3.0,5.22,4
Shin Getter Robo,"Action, Adventure, Horror, Sci-Fi",13.0,7.36,3
Akiko,Hentai,2.0,5.28,4
Kuusou Kagaku Sekai Gulliver Boy,"Action, Adventure, Fantasy",50.0,6.92,4
Chika Gentou Gekiga: Shoujo Tsubaki,"Drama, Horror",1.0,4.75,4
Yuuwaku,Hentai,2.0,6.43,4
Digital Devil Story: Megami Tensei,"Adventure, Drama, Fantasy, Horror, Mystery, Supernatural",1.0,5.14,4
Majin Tantei Nougami Neuro,"Comedy, Mystery, Supernatural",25.0,7.59,3
Bamboo Blade,"Comedy, Sports",26.0,7.31,4
Ginga Hyouryuu Vifam,"Action, Adventure, Sci-Fi",46.0,7.43,4
Mahou Shoujo Ai,"Action, Horror, Supernatural, Hentai",5.0,6.51,4
Classmate no Okaasan,Hentai,2.0,5.98,4
Mini Skirt Gakuen,Hentai,1.0,4.2,4
Harumi-chan no Oita,Hentai,1.0,5.17,4
Rosario to Vampire,"Comedy, Fantasy, Romance, Ecchi",13.0,6.75,4
Death Note: Rewrite,"Supernatural, Suspense",2.0,7.7,3
Hi no Tori: Houou-hen,"Drama, Fantasy",1.0,6.93,4
Hi no Tori: Uchuu-hen,"Drama, Fantasy, Sci-Fi",1.0,7.0,4
Hi no Tori: Yamato-hen,Drama,1.0,6.94,4
Taiho Shichau zo: Full Throttle,"Action, Comedy",23.0,7.19,4
Moyashimon,"Comedy, Gourmet, Supernatural",11.0,7.56,4
Gyakkyou Burai Kaiji: Ultimate Survivor,Suspense,26.0,8.27,3
Yumedamaya Kidan,"Drama, Fantasy",1.0,6.43,4
Saint Beast: Ikusen no Hiru to Yoru-hen,Fantasy,2.0,6.19,4
Shadow Skill,"Adventure, Drama, Fantasy",1.0,6.5,4
Atashin'chi,"Comedy, Slice of Life",330.0,7.33,4
Bronze: Kouji Nanjo Cathexis,Boys Love,1.0,6.12,4
Time Bokan Series: Yatterman,"Action, Adventure, Comedy",108.0,6.65,4
Tiger Mask,"Drama, Sports",105.0,7.31,3
Kaiketsu Zorro,Adventure,52.0,7.22,4
Yotsunoha,Romance,2.0,6.3,4
Gekitou! Crush Gear Turbo,Sports,68.0,6.93,3
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"Action, Sci-Fi",1.0,7.88,4
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,"Action, Drama, Sci-Fi",1.0,6.26,3
Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,"Action, Drama, Sci-Fi",1.0,8.08,3
Lupin III: Kiri no Elusive,"Action, Adventure, Comedy, Mystery",1.0,6.78,4
Gu-Gu Ganmo,"Comedy, Slice of Life",50.0,6.63,4
Yume Senshi Wingman,"Action, Comedy, Romance",47.0,7.06,4
Haai Step Jun,"Action, Romance, Sci-Fi",45.0,6.54,4
Esper Mami,"Comedy, Supernatural, Ecchi",119.0,6.65,4
Ribbon no Kishi,"Action, Fantasy, Mystery, Romance",52.0,6.73,4
Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,"Action, Fantasy",2.0,5.5,4
Compiler,"Comedy, Drama, Romance, Sci-Fi",2.0,5.07,4
Hokuto no Ken: Yuria-den,"Action, Adventure, Drama",1.0,7.09,3
Cluster Edge Specials,"Action, Fantasy, Sci-Fi",3.0,6.31,4
Digimon Frontier: Ornismon Fukkatsu!!,"Adventure, Comedy, Drama, Fantasy",1.0,6.83,4
Digimon Tamers: Boukensha-tachi no Tatakai,"Adventure, Drama, Sci-Fi",1.0,6.95,4
Digimon Tamers: Bousou Digimon Tokkyuu,"Adventure, Comedy, Sci-Fi",1.0,7.05,4
Kurai Mirai,Hentai,2.0,5.7,4
Chouon Senshi Borgman,"Action, Sci-Fi",35.0,6.3,4
Tobe! Isami,"Action, Adventure, Comedy, Romance",50.0,7.42,3
GS Mikami: Gokuraku Daisakusen!!,"Comedy, Fantasy",1.0,6.6,4
Senya Ichiya Monogatari,"Adventure, Fantasy",1.0,6.11,4
Campus,Hentai,2.0,5.8,4
Bakuhatsu Sunzen!! Tenshi no Countdown,"Comedy, Hentai",1.0,5.4,4
Andersen Douwa: Ningyohime,"Fantasy, Romance",1.0,6.86,4
Tetsuwan Atom (1980),"Action, Adventure, Sci-Fi",52.0,7.14,4
Shiroki Tenshi-tachi no Rondo,Hentai,2.0,5.63,4
In no Houteishiki,Hentai,2.0,6.23,4
Panchira Teacher,Hentai,2.0,6.36,4
Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,"Fantasy, Romance",1.0,7.27,4
Ganbare! Kickers,Sports,23.0,6.85,3
La Seine no Hoshi,"Adventure, Drama",39.0,6.51,4
Natural,Hentai,2.0,5.85,4
Loveless Specials,"Boys Love, Comedy, Fantasy, Romance, Supernatural",6.0,6.47,4
Darling,"Comedy, Hentai",3.0,6.37,4
Ninja Senshi Tobikage,"Action, Adventure, Sci-Fi",43.0,7.03,4
Dallos,"Action, Sci-Fi",4.0,5.96,4
Kishin Heidan,"Adventure, Sci-Fi",7.0,6.25,4
Futago no Haha Seihonnou,Hentai,2.0,6.16,4
Gakuen Sodom,Hentai,2.0,5.38,4
Kizuoibito,"Action, Adventure, Suspense",5.0,4.03,4
Ozanari Dungeon: Kaze no Tou,"Action, Adventure, Comedy, Fantasy",3.0,6.38,4
Joou-sama wa M Dorei,Hentai,1.0,5.29,4
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,"Action, Drama, Sci-Fi",1.0,7.08,3
Yamato yo Towa ni,"Action, Adventure, Drama, Sci-Fi",1.0,6.59,4
Wakusei Daikaiju Negadon,"Action, Fantasy, Sci-Fi",1.0,5.27,4
Uchuu Senkan Yamato: Aratanaru Tabidachi,"Action, Drama, Sci-Fi",1.0,6.67,3
Uchuu Senkan Yamato: Kanketsu-hen,"Action, Adventure, Drama, Sci-Fi",1.0,6.84,4
Minerva no Kenshi,"Fantasy, Hentai",5.0,5.98,4
Tondera House no Daibouken,"Adventure, Sci-Fi",52.0,6.26,4
Bishoujo Senshi Sailor Moon SuperS Specials,Romance,3.0,7.38,4
Warau Salesman,"Comedy, Drama, Supernatural",103.0,6.76,3
Magical Twilight,"Comedy, Romance, Hentai",3.0,5.84,4
Aoki Ryuusei SPT Layzner,Sci-Fi,38.0,6.95,4
Anime Tenchou,Action,1.0,6.03,4
Attacker You!,"Romance, Sports",58.0,6.73,4
Stairs: Houkago no Album,Hentai,1.0,5.36,4
Koharu Biyori,"Comedy, Sci-Fi, Ecchi",3.0,6.58,4
Strait Jacket,"Action, Fantasy, Sci-Fi",3.0,6.81,4
Cencoroll,"Action, Sci-Fi",1.0,7.15,4
Tokyo Marble Chocolate,Romance,2.0,7.15,4
The Sky Crawlers,"Award Winning, Drama",1.0,7.27,3
Aa! Megami-sama! Tatakau Tsubasa,"Comedy, Romance, Supernatural",2.0,7.57,4
xxxHOLiC◆Kei,"Comedy, Drama, Mystery, Supernatural",13.0,8.21,3
Junjou Romantica,"Boys Love, Comedy, Drama, Romance",12.0,7.5,4
Kekkai,Hentai,1.0,5.2,4
Rankou Choukyou: Maid ni Natta Shoujo,Hentai,1.0,5.3,4
Sono Kinisasete yo: My My Mai,"Comedy, Supernatural, Ecchi",2.0,5.69,4
Shutsugeki! Machine Robo Rescue,"Action, Sci-Fi",53.0,6.97,4
Juusenshi Gulkeeva,"Action, Fantasy",26.0,6.33,4
Kamen Rider SD Kaiki?! Kumo Otoko,Action,1.0,6.22,4
F-Zero: Falcon Densetsu,"Action, Adventure, Sci-Fi",51.0,6.47,4
Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu,Hentai,2.0,7.14,4
Geisters: Fractions of the Earth,"Action, Sci-Fi",26.0,5.58,4
Chikansha Thomas,Hentai,1.0,5.94,4
Dark Shell: Ori no Naka no Namameki,Hentai,2.0,6.07,4
Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,Hentai,2.0,5.84,4
Mei King,"Adventure, Comedy, Fantasy, Hentai",4.0,5.89,4
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,Drama,52.0,7.01,4
Nasu: Suitcase no Wataridori,Sports,1.0,7.07,3
Papillon Rose,"Comedy, Ecchi",6.0,4.49,4
Pinky Street,"Comedy, Slice of Life",2.0,4.5,4
Chiisana Kyojin Microman,"Action, Adventure, Comedy, Sci-Fi",52.0,6.66,4
Toki no Tabibito: Time Stranger,"Action, Adventure, Romance, Sci-Fi",1.0,6.07,4
Dash! Yonkurou,"Action, Sports",25.0,6.92,4
Bobby ni Kubittake,"Drama, Romance, Slice of Life",1.0,5.91,4
Kodomo no Jikan OVA,"Comedy, Ecchi",3.0,7.03,4
Tokimeki Tonight,"Comedy, Fantasy, Romance",34.0,7.13,4
California Crisis: Tsuigeki no Juuka,"Action, Adventure, Sci-Fi",1.0,5.62,4
Kaibutsu-kun,"Comedy, Horror",49.0,6.83,4
Kaibutsu-kun (1980),"Comedy, Horror",94.0,6.75,4
Ashita Tenki ni Naare,Sports,47.0,6.38,3
Boukensha: The Man Was from Spain,Adventure,26.0,6.2,4
Dragon's Heaven,"Action, Adventure, Fantasy, Sci-Fi",1.0,6.18,4
Ochamegami Monogatari: Korokoro Pollon,Comedy,46.0,7.11,4
Tsurikichi Sanpei,"Adventure, Sports",109.0,7.14,4
"Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.","Comedy, Drama",1.0,7.01,4
Ryoujoku no Machi: Kyouen no Ceremony,"Fantasy, Hentai",1.0,5.45,4
GR: Giant Robo,"Adventure, Sci-Fi",13.0,6.26,4
Megumi no Daigo: Kajiba no Baka Yarou,"Action, Drama",1.0,6.11,4
Genei Toushi Bastof Lemon,"Adventure, Sci-Fi",26.0,6.07,4
Down Load: Namu Amida Butsu wa Ai no Uta,"Action, Adventure, Sci-Fi",1.0,5.75,4
Kagaku Ninja-tai Gatchaman (Movie),"Action, Adventure, Sci-Fi",1.0,6.08,4
Gatchaman,"Action, Adventure, Sci-Fi",3.0,6.37,4
Kingyo Chuuihou! (Movie),"Action, Comedy",1.0,6.33,4
Guardian Hearts-Power UP!,"Action, Comedy, Fantasy, Romance, Ecchi",4.0,5.79,4
The Kabocha Wine,"Comedy, Romance",95.0,6.82,4
Houkago Mania Club: Koi no Hoshii no,Hentai,2.0,5.12,4
Makiba no Shoujo Katri,"Adventure, Drama, Slice of Life",49.0,6.93,3
Hidamari Sketch Specials,"Comedy, Slice of Life",2.0,7.53,4
Ayakashi,"Action, Fantasy, Horror, Sci-Fi",12.0,6.31,4
Eve no Jikan,"Sci-Fi, Slice of Life",6.0,8.01,4
Ryoujoku Hitozuma Onsen,Hentai,2.0,6.42,4
Sola Specials,"Comedy, Romance, Supernatural",2.0,6.92,4
Kaitei Choutokkyuu: Marine Express,"Action, Adventure, Comedy, Drama, Sci-Fi",1.0,6.34,4
Nessa no Haou Gandalla,"Adventure, Drama, Fantasy, Horror, Sci-Fi, Supernatural",26.0,5.63,4
Hengen Taima Yakou Karura Mau! Nara Onryou Emaki,"Action, Adventure, Fantasy, Horror, Supernatural",1.0,6.33,4
Manga Aesop Monogatari (TV),"Comedy, Fantasy",52.0,5.95,4
Massugu ni Ikou. 2nd Season,"Comedy, Romance, Slice of Life",5.0,6.46,4
MAPS: Densetsu no Samayoeru Seijin-tachi,"Action, Adventure, Drama, Sci-Fi",1.0,5.57,4
Fortune Quest L,"Adventure, Comedy, Fantasy",26.0,6.97,4
Sekai Meisaku Douwa: Hakuchou no Mizuumi,"Drama, Fantasy, Romance",1.0,6.88,3
Guitar wo Motta Shounen: Kikaider vs. Inazuman,Sci-Fi,1.0,6.35,4
Tobira wo Akete,"Action, Adventure, Fantasy, Sci-Fi",1.0,5.73,4
Asobot Senki Gokuu,"Action, Adventure, Comedy, Sci-Fi",52.0,6.55,4
Ningyohime Marina no Bouken,"Drama, Fantasy, Romance",26.0,6.15,3
Wakakusa no Charlotte,"Drama, Slice of Life",30.0,6.84,4
Nanatsu no Umi no Tico,"Adventure, Slice of Life",39.0,7.41,4
Pure-tou no Nakama-tachi,Fantasy,26.0,6.48,4
Daisuki! Hello Kitty,Fantasy,26.0,6.27,4
Chibi Maruko-chan Movie,Comedy,1.0,7.07,4
Cream Lemon: Lemon Angel,Ecchi,37.0,5.31,4
Ikoku Irokoi Romantan,"Boys Love, Comedy, Romance, Erotica",2.0,6.92,4
Otenki Oneesan,"Comedy, Hentai",2.0,5.46,4
Ganbare Genki,"Action, Comedy, Sports",35.0,7.47,0
Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,"Action, Adventure",1.0,5.91,4
Fuyu no Hi,Award Winning,1.0,6.02,4
Saiyuuki (OVA),"Adventure, Supernatural",2.0,7.0,4
Gakuen Utopia Manabi Straight!: Natsu da! Manabi da! Kyouka Gasshuku da!,"Comedy, Sci-Fi, Slice of Life",1.0,7.06,4
Kanashimi no Belladonna,"Avant Garde, Drama",1.0,7.15,4
Shakugan no Shana-tan Movie,"Adventure, Comedy, Fantasy",1.0,7.11,4
Kiddy Grade: Maelstrom,"Action, Sci-Fi",1.0,7.02,4
Kiddy Grade: Truth Dawn,"Action, Sci-Fi",1.0,7.05,4
Minami-ke Okawari,"Comedy, Slice of Life",13.0,7.33,4
Major S4,Sports,26.0,8.19,3
Harukanaru Toki no Naka de 3: Kurenai no Tsuki,"Action, Fantasy",1.0,6.66,4
Zoku Sayonara Zetsubou Sensei,Comedy,13.0,7.9,4
Kimi ga Aruji de Shitsuji ga Ore de,"Comedy, Romance, Ecchi",13.0,7.11,1
Druaga no Tou: The Aegis of Uruk,"Adventure, Comedy, Fantasy",12.0,7.13,4
Gunslinger Girl: Il Teatrino,"Action, Drama, Sci-Fi",13.0,7.13,3
Bannou Bunka Neko-Musume Specials,"Action, Adventure, Comedy, Sci-Fi",2.0,6.3,4
009-1: R&B,"Action, Sci-Fi",1.0,6.27,4
Magma Taishi,"Action, Sci-Fi",13.0,5.89,4
Cream Lemon,"Comedy, Fantasy, Sci-Fi, Hentai",38.0,6.18,4
Kindaichi Shounen no Jikenbo Specials,Mystery,2.0,7.19,4
Love Hina Final Selection,"Comedy, Romance, Ecchi",1.0,7.16,1
Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,"Action, Drama, Supernatural",5.0,6.73,4
Daishikkin Helena,Hentai,2.0,5.79,4
Super Teukgeup Mazinger 7,Sci-Fi,1.0,4.74,4
Luv Wave,"Action, Drama, Horror, Mystery, Sci-Fi, Hentai",3.0,5.84,4
Soukou Kihei Votoms: Pailsen Files,Sci-Fi,12.0,7.2,4
Lily C.A.T.,"Horror, Sci-Fi",1.0,5.94,4
Lemon Angel (1988),Ecchi,9.0,5.7,4
Lemon Angel (1988/II),Ecchi,8.0,5.61,4
Princess Tutu Recaps,"Comedy, Romance",3.0,6.55,4
Ai Yori Aoshi: Enishi - Miyuki,"Comedy, Drama, Romance, Ecchi",1.0,6.9,4
Kingdom of Chaos: Born to Kill,Fantasy,4.0,5.4,4
Mai-Otome 0: S.ifr,Sci-Fi,3.0,7.34,4
.hack//G.U. Trilogy,"Action, Fantasy",1.0,7.08,4
IGPX: Immortal Grand Prix (2005),"Action, Drama, Sci-Fi",13.0,7.07,3
Bakutou Sengen Daigunder,"Adventure, Sci-Fi",39.0,6.71,4
Kinnikuman,"Adventure, Comedy, Sports",137.0,7.29,4
Kinnikuman (Movie),"Action, Comedy, Sports",1.0,6.37,0
Kinnikuman: Ooabare! Seigi Choujin,"Action, Comedy, Sports",1.0,6.23,0
Kinnikuman: Seigi Choujin vs. Kodai Choujin,"Action, Comedy, Sports",1.0,6.23,0
Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,"Action, Comedy, Sports",1.0,6.05,0
Kinnikuman: Haresugata! Seigi Choujin,"Action, Comedy, Sports",1.0,6.21,0
Kinnikuman: New York Kiki Ippatsu!,"Action, Comedy, Sports",1.0,6.38,0
Kinnikuman: Seigi Choujin vs. Senshi Choujin,"Action, Comedy, Sports",1.0,6.31,0
Kinnikuman: Kessen! Shichinin no Choujin tai Uchuu Nobushi,"Action, Comedy, Sports",1.0,6.32,0
Kinnikuman: Kinnikusei Oui Soudatsu-hen,"Action, Comedy, Sports",46.0,6.98,0
Himitsu no Akko-chan,UNKNOWN,94.0,6.79,4
Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka,Hentai,2.0,6.63,4
Tenkuu Danzai Skelter+Heaven,Sci-Fi,1.0,1.85,4
Gundam Evolve,Action,15.0,6.51,4
Vampiyan Kids,"Comedy, Fantasy",23.0,5.91,4
Potemayo Specials,Comedy,6.0,7.26,4
Gasshin Sentai Mechander Robo,"Mystery, Sci-Fi",35.0,5.74,4
Yatterman,"Adventure, Comedy",60.0,6.48,4
Aria the Origination,"Fantasy, Sci-Fi, Slice of Life",13.0,8.48,3
Hatenkou Yuugi,"Adventure, Comedy, Drama, Fantasy, Romance",10.0,7.11,3
H2O: Footprints in the Sand,Romance,12.0,7.0,4
Romance wa Tsurugi no Kagayaki II,"Action, Comedy, Fantasy, Hentai",6.0,5.99,4
Septem Charm Magical Kanan,Hentai,4.0,5.93,4
Megachu!,"Supernatural, Hentai",3.0,6.42,4
Momiji,Hentai,4.0,6.1,4
Muteki Koujin Daitarn 3,Sci-Fi,40.0,7.15,4
Aoki Honoo,"Drama, Romance",1.0,4.68,4
Moke Moke Taishou Dendo Musume Arisa,Hentai,2.0,6.01,4
Heartwork: Symphony of Destruction,"Action, Hentai",3.0,6.17,4
Mozu no Nie,"Mystery, Hentai",1.0,5.17,4
Dr. Slump,"Comedy, Sci-Fi, Slice of Life",74.0,6.97,4
Montana Jones,"Adventure, Comedy, Mystery",52.0,6.78,3
Kikou Keisatsu Metal Jack,"Action, Sci-Fi",37.0,6.37,4
Uchuusen Sagittarius,"Adventure, Sci-Fi",77.0,7.42,4
Kimi ga Nozomu Eien: Next Season,"Drama, Romance",4.0,6.9,4
Harbor Light Monogatari: Fashion Lala yori,UNKNOWN,1.0,5.21,4
Wagaya no Oinari-sama.,"Comedy, Fantasy",24.0,7.19,4
Kite Liberator,"Action, Drama, Sci-Fi",1.0,6.24,3
Discode: Ijou Seiai,Hentai,3.0,6.25,4
Yuusha Exkaiser,"Action, Sci-Fi",48.0,6.67,4
Inaka Isha,"Avant Garde, Award Winning, Drama",1.0,6.66,4
Giant Gorg,"Action, Adventure, Sci-Fi",26.0,7.22,4
School Days: Magical Heart Kokoro-chan,"Comedy, Ecchi",1.0,5.54,4
Izumo (2003),"Adventure, Comedy, Fantasy, Hentai",5.0,5.86,4
Stop!! Hibari-kun!,Comedy,35.0,7.02,4
Jokuana,Hentai,2.0,5.52,4
Haikara-san ga Tooru,"Drama, Romance, Slice of Life",42.0,7.2,4
Mezame no Hakobune,Fantasy,1.0,5.83,4
Mnemosyne: Mnemosyne no Musume-tachi,"Action, Girls Love, Horror, Sci-Fi, Supernatural",6.0,7.26,4
Mikan Enikki,"Comedy, Romance, Slice of Life",30.0,7.16,4
Kiddy GiRL-AND,"Action, Comedy, Sci-Fi",24.0,6.84,4
Kininaru Kimochi,Hentai,4.0,6.04,4
Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,"Action, Adventure, Comedy, Sci-Fi",1.0,7.35,4
Zombie-Loan Specials,"Action, Horror, Supernatural",2.0,7.0,4
Fortune Dogs,Adventure,39.0,6.65,4
Mahoutsukai Sally,Fantasy,109.0,6.85,4
Kure-nai,"Comedy, Drama",12.0,7.33,4
Amatsuki,"Action, Fantasy, Mystery",13.0,6.88,4
UFO Senshi Dai Apolon,"Action, Sci-Fi",26.0,6.08,4
Oshare Majo Love and Berry: Shiawase no Mahou,UNKNOWN,1.0,5.7,4
RD Sennou Chousashitsu,"Action, Sci-Fi",26.0,7.09,4
Persona: Trinity Soul,"Action, Sci-Fi",26.0,6.52,4
Furusato Japan,UNKNOWN,1.0,6.68,4
Shoubushi Densetsu Tetsuya,UNKNOWN,20.0,7.52,4
Natural: Another,"Romance, Hentai",2.0,5.92,4
Ginga Eiyuu Densetsu Gaiden,"Action, Drama, Sci-Fi",24.0,8.12,3
Kirepapa.,"Boys Love, Comedy, Drama, Romance, Erotica",2.0,6.6,4
Tres Marias: Sannin no Sei Shojo,Hentai,2.0,5.32,4
Leatherman,Hentai,5.0,5.76,4
Mikagura Tanteidan,Hentai,3.0,5.78,4
Hana Dorei,Hentai,2.0,5.46,4
Fushigi no Umi no Nadia Omake Gekijou,"Adventure, Sci-Fi",10.0,6.44,4
Korashime,Hentai,2.0,5.73,4
Orchid★Emblem,Hentai,1.0,5.37,4
Mi-da-ra,Hentai,3.0,5.5,4
Dorei Ichiba,Hentai,3.0,6.08,4
Majokko Megu-chan,UNKNOWN,72.0,6.84,4
Bus Gamer,Action,3.0,6.49,4
Hoshi no Umi no Amuri,"Adventure, Fantasy, Sci-Fi",3.0,5.69,4
Maicching Machiko-sensei,"Comedy, Ecchi",95.0,6.19,4
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,Romance,1.0,7.44,4
Dark,Hentai,2.0,5.44,4
Kimagure Orange☆Road: Shounen Jump Special,"Drama, Romance",1.0,6.51,4
Gloria: Kindan no Ketsuzoku,"Drama, Mystery, Romance, Hentai",3.0,5.37,4
Shin Hurricane Polymar,"Action, Sci-Fi",2.0,5.77,4
Rokushin Gattai GodMars,"Action, Sci-Fi",64.0,6.26,4
Aru Tabibito no Nikki Specials,"Adventure, Fantasy",3.0,6.31,4
Sexy Sailor Soldiers,"Action, Comedy, Hentai",1.0,5.39,4
The Guts!,Hentai,2.0,6.3,4
iDOLM@STER Xenoglossia Specials,"Comedy, Sci-Fi",9.0,5.91,4
Blassreiter,"Action, Sci-Fi",24.0,6.89,4
Sky Girls Specials,"Comedy, Sci-Fi",9.0,6.51,4
Haitoku no Shoujo,Hentai,2.0,5.64,4
Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,"Comedy, Ecchi",4.0,6.31,4
Jungle no Ouja Tar-chan,"Action, Comedy",50.0,6.99,4
Sumomomo Momomo: Chijou Saikyou no Yome Specials,"Comedy, Romance, Ecchi",2.0,6.88,1
Shigofumi,"Drama, Fantasy, Suspense",12.0,7.46,3
Kodomo no Omocha,"Comedy, Drama",1.0,7.12,4
Donburi Kazoku,Hentai,2.0,5.88,4
Porphy no Nagai Tabi,Drama,52.0,6.89,4
Meiken Lassie,"Adventure, Slice of Life",25.0,6.7,4
Oni-Tensei,"Horror, Supernatural, Hentai",4.0,6.07,4
Injuu vs. Onna Spy,"Horror, Hentai",1.0,5.37,4
Blame! Special,"Action, Sci-Fi",1.0,5.29,4
Blame! Prologue,"Action, Sci-Fi",2.0,5.35,4
Chou Mashin Eiyuuden Wataru,"Action, Adventure, Comedy",51.0,7.02,4
Go-Q-Choji Ikkiman,"Sci-Fi, Sports",32.0,6.57,4
Hey! Bumboo,Adventure,130.0,6.09,4
Joou Heika no Petite Angie,Mystery,26.0,6.4,4
Meme Iroiro Yume no Tabi,"Adventure, Sci-Fi",127.0,6.74,4
Mister Ajikko,"Comedy, Gourmet",99.0,7.17,4
Moero! Top Striker,Sports,49.0,6.69,3
Darcrows,Hentai,2.0,5.64,4
Ninpou Midare Karakuri,Hentai,2.0,6.02,4
The☆Ultraman,"Action, Sci-Fi",50.0,6.38,4
Biohazard: Degeneration,"Action, Horror, Sci-Fi",1.0,6.96,4
Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi,"Comedy, Sci-Fi",1.0,6.88,4
Mad★Bull 34,Action,4.0,6.3,4
Kamichu! Specials,"Comedy, Drama, Slice of Life, Supernatural",4.0,7.45,3
Onna Kyoushi,Hentai,3.0,5.86,4
Kowaremono,Hentai,3.0,5.46,4
To LOVE-Ru,"Comedy, Romance, Sci-Fi, Ecchi",26.0,6.99,4
Candy☆Boy: Side Story For Archive,"Girls Love, Romance",1.0,6.78,4
Vampire Knight,"Drama, Mystery, Romance, Supernatural",13.0,6.88,3
Pi Po Pa Po Patrol-kun,Comedy,65.0,5.6,4
Bosco Daibouken,"Adventure, Fantasy",26.0,7.24,4
Gensou Jotan Ellcia,"Adventure, Fantasy",4.0,5.9,4
Minky Momo in Yume ni Kakeru Hashi,"Drama, Slice of Life",1.0,7.04,4
A.LI.CE,Sci-Fi,1.0,4.61,4
Kemeko Deluxe!,"Action, Comedy, Romance, Sci-Fi, Ecchi",12.0,6.55,4
Nagasaki 1945: Angelus no Kane,Drama,1.0,6.49,4
